Token,Symbol,DisplayName,Description,Series,LotSize,TickSize,ExpiryDate,StrikePrice,OptionType,UnderlyingSymbol,AssetToken,PriceBandHigh,PriceBandLow,LTP,Open,High,Low,Close,PrevClose,Volume,IV,Delta,Gamma,Vega,Theta,InstrumentType
1165551,SENSEX50,SENSEX50 26FEB2026 CE 26650,SENSEX5026FEB26650CE,IO,75,0.05,26FEB2026,26650,CE,SENSEX50,-1,1657.7,426.6,0,0,0,0,0,0,0,0,0,0,0,0,2
832698,SENSEX50,SENSEX50 25MAR2026 CE 26250,SENSEX5026MAR26250CE,IO,75,0.05,25MAR2026,26250,CE,SENSEX50,-1,2176.3,850,0,0,0,0,0,0,0,0,0,0,0,0,2
1161773,BANKEX,BANKEX 26FEB2026 PE 64400,BANKEX26FEB64400PE,IO,30,0.05,26FEB2026,64400,PE,BANKEX,-1,405.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1172058,SENSEX,SENSEX 22JAN2026 CE 84300,SENSEX2612284300CE,IO,20,0.05,22JAN2026,84300,CE,SENSEX,-1,3168.35,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
844011,SENSEX,SENSEX 27JUN2030 PE 83000,SENSEX30JUN83000PE,IO,20,0.05,27JUN2030,83000,PE,SENSEX,-1,581.8,385,0,0,0,0,0,0,0,0,0,0,0,0,2
1160204,SENSEX,SENSEX 08JAN2026 PE 93100,SENSEX2610893100PE,IO,20,0.05,08JAN2026,93100,PE,SENSEX,-1,10299.5,5326.9,0,0,0,0,0,0,0,0,0,0,0,0,2
1151904,SENSEX,SENSEX 29JAN2026 PE 79800,SENSEX26JAN79800PE,IO,20,0.05,29JAN2026,79800,PE,SENSEX,-1,71.25,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
825561,SENSEX,SENSEX 12FEB2026 PE 92200,SENSEX2621292200PE,IO,20,0.05,12FEB2026,92200,PE,SENSEX,-1,8725,4149.8,0,0,0,0,0,0,0,0,0,0,0,0,2
820456,SENSEX,SENSEX 22JAN2026 PE 76900,SENSEX2612276900PE,IO,20,0.05,22JAN2026,76900,PE,SENSEX,-1,20.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
830078,SENSEX,SENSEX 12FEB2026 PE 80300,SENSEX2621280300PE,IO,20,0.05,12FEB2026,80300,PE,SENSEX,-1,175.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
